:Rank 1
Vijaya Ramachandran
Pradeep Ravikumar
Jan Rellermeyer
Elaine Alice Rich
Christopher Rossbach
Michael D. Scott
Vitaly Shmatikov
Peter Stone
Paul Toprac
Robert van de Geijn
Etienne Vouga
Michael Walfish
Tandy Warnow
Brent Waters
Emmett Witchel
William D. Young
Yin Zhang
David Zuckerman

:Rank 11
:California Institute of Technology
Yaser  S. Abu-Mostafa
Alan H. Barr
James (Jim)  L. Beck
Oscar P. Bruno
Joel W. Burdick
Venkat Chandrasekaran
Mathieu Desbrun
John Doyle
Yizhao Thomas Hou
Katrina Ligett
Steven Low
Alain J. Martin
Dan Meiron
Richard M. Murray
Houman Owhadi
Niles A. Pierce
Peter Schroeder
Leonard  J. Schulman
Joel A. Tropp
Christopher Umans
Thomas Vidick
Adam Wierman
Erik Winfree
Yisong Yue
Babak Hassibi
Alexei Y. Kitaev
Victoria Kostina
John O. Ledyard
Pietro Perona
John Preskill
Lulu Qian
Omer Tamuz
Gerard Holzmann
Michael Hucka
Douglas MacMartin
Paul Rothemund
James Scovel
Damien Woods
Kanianthra Mani Chandy
Donald  S. Cohen
Carver Mead

:Rank 12
:University of Wisconsin-​Madison
Aditya Akella
Aws Albarghouthi
Andrea Arpaci-Dusseau
Remzi Arpaci-Dusseau
Eric Bach
Suman Banerjee
Paul Barford
Jin-Yi Cai
Shuchi Chawla
Loris D'Antoni
AnHai Doan
Charles Dyer
Michael Ferris
Michael Gleicher
Mohit Gupta
Mark D. Hill
Somesh Jha
Deborah Joseph
Paris Koutris
Ben Liblit
Miron Livny
Barton Miller
Bilge Mutlu
Jeffrey Naughton
Jignesh Patel
Thomas Reps
Amos Ron
Karthikeyan Sankaralingam
Jude Shavlik
Eftychios Sifakis
Gurindar Sohi
Michael Swift
Dieter van Melkebeek
David Wood
Stephen Wright
Jerry Zhu

:Rank 13
:University of California-​Los Angeles
Algirdas Avizienis
Rajive Bagrodia
Jack Carlyle
Junghoo (John) Cho
Wesley Chu
Tyson Condie
Adnan Darwiche
Joseph Distefano III
Michael G. Dyer
Paul Eggert
Milos D. Ercegovac
Eleazar Eskin
Eliezer Gafni
Mario Gerla
Sheila Greibach
David Heckerman
Van Jacobson
Alan Kay
Miryung Kim
Leonard Kleinrock
Allen Klinger
Eddie Kohler
Richard Korf
Christopher Lee
Songwu Lu
Rupak Majumdar
Raghu Meka
Todd Millstein
Richard R. Muntz
Carey Nachenberg
Stanley Osher
Rafail Ostrovsky
Jens Palsberg
TUREGiovanni Pau
Miodrag Potkonjak
Ramin Ramezani
Glenn Reinman
Amit Sahai
Sriram Sankararaman
Fabien Scalzo
Alexander Sherstov
Stefano Soatto
Ameet Talwalkar
Demetri Terzopoulos
Jennifer Wortman Vaughan
Jacques Vidal
Wei Wang
Alan Yuille
Carlo Zaniolo
Lixia Zhang
Song Chun Zhu

:Rank 14
:Umich
Abernethy Jacob 
Abney Steven 
Ackerman Mark S.
Adar Eytan 
Anastasopoulos Achilleas 
Atkins Ella M.
Austin Todd 
Avestruz Al-Thaddeus
Balzano Laura 
Baveja Satinder S.
Bertacco Valeria 
Bhattacharya Pallab 
Blaauw David T.
Bond Jeremy
Brehob Mark 
Cafarella Michael J.
Cain Charles A.
Carmon Tal 
Chen Peter M.
Chesney David 
Chestek Cynthia 
Cho Jae Yoong
Chowdhury Mosharaf 
Collins-Thompson Kevyn
Compton Kevin J.
Cook Jeffrey
Corso Jason 
Cundiff Steven
Darden Marcus
Das Reetuparna 
Deng Jia 
DeOrio Andrew W.
Deotare Parag 
Dick Robert 
